di	sease	Group	PKM2	LDHA	LCP1	ACSF2	MECP2	ARF1	MSN	CTNNB1
ND	_30_93-07	0	11.04503747	11.55652113	8.082663551	6.5880357	7.272311211	10.87783758	9.83980561	7.890612828
ND	_31_95-02	0	11.0528893	11.96509229	8.187031289	6.628565214	7.378601352	10.80163227	9.714582615	8.046070777
ND	_32_96-44	0	10.98508322	11.69230217	8.395441721	6.66738628	7.496351372	10.71663116	9.340832027	7.79680536
ND	_33_96-39	0	11.15387415	12.17159661	7.187184714	6.48768323	7.379473557	11.1674131	8.63118055	8.349963011
ND	_34_96-30	0	11.21216409	12.109831	7.354526911	6.329991443	7.73498376	10.85564671	9.039665965	7.301524247
ND	_36_96-22	0	10.3154313	11.78357703	8.485244656	6.909920265	6.805195031	10.78689091	9.250347896	7.177302693
ND	_37_96-28	0	9.927416659	10.95729463	9.008076261	7.933554918	6.466673137	10.37660217	10.18410752	7.49667314
ND	_38_96-32	0	10.2671971	11.44414085	8.53849328	6.846232539	6.972326994	10.66573019	8.600380133	7.444807612
ND	_39_96-35	0	10.07654295	11.32141282	7.731232698	6.857719278	6.851243242	10.52656971	8.562509248	8.076834271
ND	_40_96-16	0	10.20643621	11.50959915	8.596446211	7.037376445	6.924508258	10.88070279	9.135171428	7.341688766
ND	_41_05-14	0	10.15396707	11.17742553	8.799155694	6.938028507	7.017790179	10.59902922	8.796981021	7.228677531
ND	_42_06-68	0	10.46696393	11.85185615	7.264239276	6.833603612	6.8932214	10.77286115	8.487588514	7.237744879
ND	_43_04-52	0	10.3578177	11.64373093	9.125196937	6.890336556	7.005265941	10.83260112	9.204458611	7.397651987
ND	_44_04-38	0	9.961791003	11.59708316	8.80985323	6.92943578	6.868925621	10.69423526	9.018462983	7.288378942
ND	_45_06-02	0	10.73778485	11.61205955	9.98340029	7.217127733	7.088483808	10.37856466	10.74377352	7.796944044
ND	_46_06-03	0	10.98975446	11.78357703	7.567489827	6.824243292	7.664604167	10.61059485	8.965674969	7.757776278
ND	_47_06-13	0	10.05994975	9.828440791	8.603084945	7.575815239	6.518605752	10.13000948	9.364278157	7.630158979
ND	_48_06-53	0	11.02395772	11.85185615	8.541767271	7.105843584	7.532594514	10.81919956	9.345001132	7.498653728
ND	_49_04-62	0	11.19646326	12.03329152	7.407769375	6.738164877	7.501135902	10.78062812	8.920039735	8.153997792
ND	_50_05-18	0	10.66208188	11.86007034	10.1986897	6.628121882	7.325641984	10.79894354	9.993104905	8.347220651
ND	_51_06-35	0	10.89664172	11.62199395	9.161329764	6.986050145	7.654960193	10.10426346	9.67650164	7.975933532
ND	_52_06-57	0	10.79894354	10.72576673	8.526609907	7.105332564	7.187428283	10.62947904	9.998590977	8.393893595
ND	_53_04-30	0	10.76636692	11.49123255	8.306212432	6.903624511	7.421556974	10.78559221	9.881243284	8.547895529
ND	_54_06-32	0	10.99598242	11.64868402	8.443712067	6.866742853	7.863562843	10.59671082	9.362610535	8.536910294
ND	_55_06-49	0	10.93423883	11.61205955	7.800864933	6.802288613	7.549348474	10.639731	9.097713973	7.90536758
ND	_56_06-61	0	10.51039226	11.26427581	9.143910406	6.96412883	7.471670644	10.63280783	9.843152809	7.731334135
ND	_57_05-36	0	10.72185368	11.94028677	8.036492449	6.817889456	7.238676016	10.8030467	8.695145307	6.920227445
ND	_58_06-15	0	8.602751591	11.73680704	7.878976208	6.433360595	6.616260192	10.70836542	8.494822187	7.677353405
ND	_59_06-21	0	10.64090196	11.15026959	9.374414774	7.558574512	6.940347633	10.18460737	10.04635998	7.141478985
ND	_60_05-20	0	10.71307235	11.61931636	8.679541977	6.887996456	7.176740015	10.72185368	9.202716603	7.694012711
ND	_61_04-31	0	10.26257316	11.42985956	7.944333687	6.745282433	6.816668574	10.74635459	8.712283684	7.433565985
ND	_62_04-64	0	10.8463769	11.94028677	8.263748305	6.679962956	7.33306822	10.63168934	8.771471355	7.543775985
ND	_63_05-28	0	10.90827749	12.01917775	7.881043161	6.613451627	7.321586046	10.7192174	8.75335145	7.91673617
ND	_64_06-63	0	10.82612304	10.78689091	8.419733205	7.525277802	6.838697302	10.10680863	10.15653103	7.627119988
ND	_65_07-70	0	10.44858314	10.65740496	8.260758369	6.945868682	7.015327131	10.49283084	9.363204191	7.61327497
ND	_66_07-18	0	9.693272396	10.82257283	9.0207526	7.455836456	6.720968967	10.22192807	9.606898937	7.302925074
ND	_67_08-44	0	10.20915667	11.38224754	7.647617265	6.825592315	6.97455955	10.61432045	8.385505501	7.589426997
ND	_68_07-46	0	10.17317326	11.07854664	7.938520091	7.03772043	6.77292709	10.87927017	9.018462983	7.336607342
ND	_69_08-04	0	8.959795265	11.84896088	8.125385494	6.665641876	6.66219148	10.67065073	8.397440834	7.917426457
ND	_70_08-35	0	8.859320395	11.96154189	9.027819354	6.570042906	6.848679745	10.88218205	8.981699737	7.310219042
ND	_71_07-11	0	8.730779217	11.0231442	8.318388829	6.759727014	6.818341485	10.80436127	8.950660246	7.765559042
ND	_72_07-30	0	8.522933169	10.67321531	8.453340165	6.779228617	6.978204886	10.82872317	9.040158619	7.443648795
ND	_73_08-40	0	8.709398907	11.54095548	8.355179663	6.712916569	6.857875676	10.74885225	8.523439817	7.589645743
ND	_74_08-55	0	8.540303569	11.83108479	7.992025741	6.554241226	6.794331195	10.67186094	8.307689814	7.859971861
ND	_75_02-24	0	8.810503881	11.27372767	7.208218787	6.911927506	6.770823461	10.71063897	8.2328526	7.220826996
ND	_76_03-17	0	8.702121061	11.41124992	7.384399645	6.937399009	6.721608865	10.92958162	8.402190316	7.321955885
ND	_77_03-28	0	8.27349122	10.72719042	9.235941108	7.15920779	6.593992547	10.11681308	9.551175935	7.798957365
ND	_78_04-19	0	8.372951942	10.91268128	8.460057539	7.086633901	6.639227623	10.62254107	9.076587505	7.858228563
ND	_79_03-15	0	8.395441721	11.21792542	7.265316414	6.759686609	6.743902418	10.71063897	8.242624613	7.533733348
ND	_80_03-41	0	8.304258476	10.81245533	7.861930455	6.795745343	6.613886829	10.76394501	8.688531924	7.662989432
ND	_81_00-49	0	8.792564094	10.85564671	7.929744743	6.961677107	6.66870942	10.80965318	8.696483105	7.821955874
